Attack,Layer,Dropped_Group,AUC
badnets,layer1,Mean,0.7900
badnets,layer1,Gini,0.8113
badnets,layer1,Std,0.7934
badnets,layer1,Centroid,0.8149
badnets,layer1,PAPR,0.8650
badnets,layer2,Mean,0.5911
badnets,layer2,Gini,0.6152
badnets,layer2,Std,0.5650
badnets,layer2,Centroid,0.5882
badnets,layer2,PAPR,0.6725
badnets,layer3,Mean,0.7791
badnets,layer3,Gini,0.8151
badnets,layer3,Std,0.8164
badnets,layer3,Centroid,0.8107
badnets,layer3,PAPR,0.8139
badnets,layer4,Mean,0.8134
badnets,layer4,Gini,0.8874
badnets,layer4,Std,0.8874
badnets,layer4,Centroid,0.8874
badnets,layer4,PAPR,0.9018
badnet_all2all,layer1,Mean,0.7868
badnet_all2all,layer1,Gini,0.8134
badnet_all2all,layer1,Std,0.7859
badnet_all2all,layer1,Centroid,0.7973
badnet_all2all,layer1,PAPR,0.8822
badnet_all2all,layer2,Mean,0.9412
badnet_all2all,layer2,Gini,0.9436
badnet_all2all,layer2,Std,0.9387
badnet_all2all,layer2,Centroid,0.9405
badnet_all2all,layer2,PAPR,0.9414
badnet_all2all,layer3,Mean,0.8006
badnet_all2all,layer3,Gini,0.8167
badnet_all2all,layer3,Std,0.8379
badnet_all2all,layer3,Centroid,0.7803
badnet_all2all,layer3,PAPR,0.8127
badnet_all2all,layer4,Mean,0.9802
badnet_all2all,layer4,Gini,0.9795
badnet_all2all,layer4,Std,0.9795
badnet_all2all,layer4,Centroid,0.9795
badnet_all2all,layer4,PAPR,0.9744
blended,layer1,Mean,0.8065
blended,layer1,Gini,0.8061
blended,layer1,Std,0.7360
blended,layer1,Centroid,0.7553
blended,layer1,PAPR,0.7894
blended,layer2,Mean,0.5408
blended,layer2,Gini,0.6036
blended,layer2,Std,0.6640
blended,layer2,Centroid,0.6263
blended,layer2,PAPR,0.5985
blended,layer3,Mean,0.8037
blended,layer3,Gini,0.9075
blended,layer3,Std,0.9116
blended,layer3,Centroid,0.9224
blended,layer3,PAPR,0.9041
blended,layer4,Mean,0.6045
blended,layer4,Gini,0.9658
blended,layer4,Std,0.9658
blended,layer4,Centroid,0.9658
blended,layer4,PAPR,0.9949
blind,layer1,Mean,0.5617
blind,layer1,Gini,0.6175
blind,layer1,Std,0.5817
blind,layer1,Centroid,0.5893
blind,layer1,PAPR,0.5414
blind,layer2,Mean,0.5440
blind,layer2,Gini,0.6017
blind,layer2,Std,0.5852
blind,layer2,Centroid,0.5024
blind,layer2,PAPR,0.5841
blind,layer3,Mean,0.9126
blind,layer3,Gini,0.9069
blind,layer3,Std,0.9033
blind,layer3,Centroid,0.9091
blind,layer3,PAPR,0.9061
blind,layer4,Mean,0.8948
blind,layer4,Gini,0.8922
blind,layer4,Std,0.8922
blind,layer4,Centroid,0.8922
blind,layer4,PAPR,0.8902
bpp,layer1,Mean,0.5033
bpp,layer1,Gini,0.8043
bpp,layer1,Std,0.8610
bpp,layer1,Centroid,0.8649
bpp,layer1,PAPR,0.7990
bpp,layer2,Mean,0.9367
bpp,layer2,Gini,0.9187
bpp,layer2,Std,0.9638
bpp,layer2,Centroid,0.9676
bpp,layer2,PAPR,0.9348
bpp,layer3,Mean,0.7722
bpp,layer3,Gini,0.8673
bpp,layer3,Std,0.8982
bpp,layer3,Centroid,0.9000
bpp,layer3,PAPR,0.8730
bpp,layer4,Mean,0.6034
bpp,layer4,Gini,0.5838
bpp,layer4,Std,0.6015
bpp,layer4,Centroid,0.5990
bpp,layer4,PAPR,0.5820
ctrl,layer1,Mean,0.6428
ctrl,layer1,Gini,0.5061
ctrl,layer1,Std,0.5514
ctrl,layer1,Centroid,0.5540
ctrl,layer1,PAPR,0.5069
ctrl,layer2,Mean,0.6141
ctrl,layer2,Gini,0.8156
ctrl,layer2,Std,0.8478
ctrl,layer2,Centroid,0.8429
ctrl,layer2,PAPR,0.8158
ctrl,layer3,Mean,0.9839
ctrl,layer3,Gini,0.9849
ctrl,layer3,Std,0.9914
ctrl,layer3,Centroid,0.9894
ctrl,layer3,PAPR,0.9846
ctrl,layer4,Mean,0.8395
ctrl,layer4,Gini,0.8744
ctrl,layer4,Std,0.8744
ctrl,layer4,Centroid,0.8744
ctrl,layer4,PAPR,0.8297
ftrojan,layer1,Mean,0.7625
ftrojan,layer1,Gini,0.7729
ftrojan,layer1,Std,0.6351
ftrojan,layer1,Centroid,0.6410
ftrojan,layer1,PAPR,0.7662
ftrojan,layer2,Mean,0.6996
ftrojan,layer2,Gini,0.8632
ftrojan,layer2,Std,0.8828
ftrojan,layer2,Centroid,0.8795
ftrojan,layer2,PAPR,0.8589
ftrojan,layer3,Mean,0.9995
ftrojan,layer3,Gini,0.9999
ftrojan,layer3,Std,0.9999
ftrojan,layer3,Centroid,0.9999
ftrojan,layer3,PAPR,0.9999
ftrojan,layer4,Mean,0.9975
ftrojan,layer4,Gini,0.9998
ftrojan,layer4,Std,0.9998
ftrojan,layer4,Centroid,0.9998
ftrojan,layer4,PAPR,0.9995
inputaware,layer1,Mean,0.5837
inputaware,layer1,Gini,0.5556
inputaware,layer1,Std,0.5689
inputaware,layer1,Centroid,0.5832
inputaware,layer1,PAPR,0.5395
inputaware,layer2,Mean,0.8504
inputaware,layer2,Gini,0.7693
inputaware,layer2,Std,0.7121
inputaware,layer2,Centroid,0.7750
inputaware,layer2,PAPR,0.7613
inputaware,layer3,Mean,0.7279
inputaware,layer3,Gini,0.7856
inputaware,layer3,Std,0.8357
inputaware,layer3,Centroid,0.8138
inputaware,layer3,PAPR,0.7709
inputaware,layer4,Mean,0.9865
inputaware,layer4,Gini,0.9929
inputaware,layer4,Std,0.9929
inputaware,layer4,Centroid,0.9929
inputaware,layer4,PAPR,0.9909
lira,layer1,Mean,0.8380
lira,layer1,Gini,0.8421
lira,layer1,Std,0.8001
lira,layer1,Centroid,0.7992
lira,layer1,PAPR,0.8332
lira,layer2,Mean,0.9017
lira,layer2,Gini,0.9170
lira,layer2,Std,0.9177
lira,layer2,Centroid,0.9114
lira,layer2,PAPR,0.9153
lira,layer3,Mean,0.8172
lira,layer3,Gini,0.8064
lira,layer3,Std,0.8202
lira,layer3,Centroid,0.8110
lira,layer3,PAPR,0.8049
lira,layer4,Mean,0.5367
lira,layer4,Gini,0.6155
lira,layer4,Std,0.6155
lira,layer4,Centroid,0.6155
lira,layer4,PAPR,0.6589
refool,layer1,Mean,0.6133
refool,layer1,Gini,0.5174
refool,layer1,Std,0.6003
refool,layer1,Centroid,0.6186
refool,layer1,PAPR,0.5244
refool,layer2,Mean,0.6285
refool,layer2,Gini,0.7895
refool,layer2,Std,0.6983
refool,layer2,Centroid,0.6497
refool,layer2,PAPR,0.7480
refool,layer3,Mean,0.6915
refool,layer3,Gini,0.7519
refool,layer3,Std,0.7666
refool,layer3,Centroid,0.7931
refool,layer3,PAPR,0.7667
refool,layer4,Mean,0.8186
refool,layer4,Gini,0.8947
refool,layer4,Std,0.8947
refool,layer4,Centroid,0.8947
refool,layer4,PAPR,0.9222
sig,layer1,Mean,0.7343
sig,layer1,Gini,0.8710
sig,layer1,Std,0.9333
sig,layer1,Centroid,0.9331
sig,layer1,PAPR,0.9076
sig,layer2,Mean,0.6642
sig,layer2,Gini,0.8985
sig,layer2,Std,0.9448
sig,layer2,Centroid,0.9382
sig,layer2,PAPR,0.9076
sig,layer3,Mean,0.9998
sig,layer3,Gini,1.0000
sig,layer3,Std,1.0000
sig,layer3,Centroid,1.0000
sig,layer3,PAPR,1.0000
sig,layer4,Mean,0.9947
sig,layer4,Gini,1.0000
sig,layer4,Std,1.0000
sig,layer4,Centroid,1.0000
sig,layer4,PAPR,1.0000
trojannn,layer1,Mean,0.8984
trojannn,layer1,Gini,0.9297
trojannn,layer1,Std,0.9044
trojannn,layer1,Centroid,0.9051
trojannn,layer1,PAPR,0.9317
trojannn,layer2,Mean,0.9038
trojannn,layer2,Gini,0.9477
trojannn,layer2,Std,0.9233
trojannn,layer2,Centroid,0.9036
trojannn,layer2,PAPR,0.9432
trojannn,layer3,Mean,0.9773
trojannn,layer3,Gini,0.9790
trojannn,layer3,Std,0.9815
trojannn,layer3,Centroid,0.9842
trojannn,layer3,PAPR,0.9752
trojannn,layer4,Mean,0.9568
trojannn,layer4,Gini,0.9970
trojannn,layer4,Std,0.9970
trojannn,layer4,Centroid,0.9970
trojannn,layer4,PAPR,0.9972
wanet,layer1,Mean,0.8351
wanet,layer1,Gini,0.8340
wanet,layer1,Std,0.7879
wanet,layer1,Centroid,0.8144
wanet,layer1,PAPR,0.8217
wanet,layer2,Mean,0.7055
wanet,layer2,Gini,0.7473
wanet,layer2,Std,0.7045
wanet,layer2,Centroid,0.7193
wanet,layer2,PAPR,0.7404
wanet,layer3,Mean,0.6996
wanet,layer3,Gini,0.7312
wanet,layer3,Std,0.7407
wanet,layer3,Centroid,0.7412
wanet,layer3,PAPR,0.7316
wanet,layer4,Mean,0.5377
wanet,layer4,Gini,0.5586
wanet,layer4,Std,0.5586
wanet,layer4,Centroid,0.5586
wanet,layer4,PAPR,0.6836
