Attack,Layer,K,Metric,Raw_AUC,Corrected_AUC,Direction
badnets,layer1,1,manhattan,0.0021,0.9979,Inward
badnets,layer1,3,manhattan,0.0644,0.9356,Inward
badnets,layer1,5,manhattan,0.1790,0.8210,Inward
badnets,layer1,10,manhattan,0.3476,0.6524,Inward
badnets,layer1,20,manhattan,0.4580,0.5420,Inward
badnets,layer1,50,manhattan,0.5256,0.5256,Outward
badnets,layer1,1,euclidean,0.0239,0.9761,Inward
badnets,layer1,3,euclidean,0.1313,0.8687,Inward
badnets,layer1,5,euclidean,0.2449,0.7551,Inward
badnets,layer1,10,euclidean,0.3934,0.6066,Inward
badnets,layer1,20,euclidean,0.4862,0.5138,Inward
badnets,layer1,50,euclidean,0.5413,0.5413,Outward
badnets,layer2,1,manhattan,0.0139,0.9861,Inward
badnets,layer2,3,manhattan,0.2195,0.7805,Inward
badnets,layer2,5,manhattan,0.3917,0.6083,Inward
badnets,layer2,10,manhattan,0.5789,0.5789,Outward
badnets,layer2,20,manhattan,0.6882,0.6882,Outward
badnets,layer2,50,manhattan,0.7505,0.7505,Outward
badnets,layer2,1,euclidean,0.0526,0.9474,Inward
badnets,layer2,3,euclidean,0.3110,0.6890,Inward
badnets,layer2,5,euclidean,0.4610,0.5390,Inward
badnets,layer2,10,euclidean,0.6115,0.6115,Outward
badnets,layer2,20,euclidean,0.6968,0.6968,Outward
badnets,layer2,50,euclidean,0.7432,0.7432,Outward
badnets,layer3,1,manhattan,0.6325,0.6325,Outward
badnets,layer3,3,manhattan,0.7594,0.7594,Outward
badnets,layer3,5,manhattan,0.8087,0.8087,Outward
badnets,layer3,10,manhattan,0.8593,0.8593,Outward
badnets,layer3,20,manhattan,0.8907,0.8907,Outward
badnets,layer3,50,manhattan,0.9126,0.9126,Outward
badnets,layer3,1,euclidean,0.6627,0.6627,Outward
badnets,layer3,3,euclidean,0.7713,0.7713,Outward
badnets,layer3,5,euclidean,0.8153,0.8153,Outward
badnets,layer3,10,euclidean,0.8649,0.8649,Outward
badnets,layer3,20,euclidean,0.8974,0.8974,Outward
badnets,layer3,50,euclidean,0.9193,0.9193,Outward
badnets,layer4,1,manhattan,0.8201,0.8201,Outward
badnets,layer4,3,manhattan,0.8666,0.8666,Outward
badnets,layer4,5,manhattan,0.8874,0.8874,Outward
badnets,layer4,10,manhattan,0.9051,0.9051,Outward
badnets,layer4,20,manhattan,0.9133,0.9133,Outward
badnets,layer4,50,manhattan,0.9159,0.9159,Outward
badnets,layer4,1,euclidean,0.8254,0.8254,Outward
badnets,layer4,3,euclidean,0.8678,0.8678,Outward
badnets,layer4,5,euclidean,0.8885,0.8885,Outward
badnets,layer4,10,euclidean,0.9083,0.9083,Outward
badnets,layer4,20,euclidean,0.9180,0.9180,Outward
badnets,layer4,50,euclidean,0.9216,0.9216,Outward
badnet_all2all,layer1,1,manhattan,0.0011,0.9989,Inward
badnet_all2all,layer1,3,manhattan,0.0577,0.9423,Inward
badnet_all2all,layer1,5,manhattan,0.1773,0.8227,Inward
badnet_all2all,layer1,10,manhattan,0.3732,0.6268,Inward
badnet_all2all,layer1,20,manhattan,0.5001,0.5001,Outward
badnet_all2all,layer1,50,manhattan,0.5750,0.5750,Outward
badnet_all2all,layer1,1,euclidean,0.0277,0.9723,Inward
badnet_all2all,layer1,3,euclidean,0.1522,0.8478,Inward
badnet_all2all,layer1,5,euclidean,0.2795,0.7205,Inward
badnet_all2all,layer1,10,euclidean,0.4387,0.5613,Inward
badnet_all2all,layer1,20,euclidean,0.5349,0.5349,Outward
badnet_all2all,layer1,50,euclidean,0.5910,0.5910,Outward
badnet_all2all,layer2,1,manhattan,0.0001,0.9999,Inward
badnet_all2all,layer2,3,manhattan,0.0074,0.9926,Inward
badnet_all2all,layer2,5,manhattan,0.0546,0.9454,Inward
badnet_all2all,layer2,10,manhattan,0.2376,0.7624,Inward
badnet_all2all,layer2,20,manhattan,0.4190,0.5810,Inward
badnet_all2all,layer2,50,manhattan,0.5468,0.5468,Outward
badnet_all2all,layer2,1,euclidean,0.0012,0.9988,Inward
badnet_all2all,layer2,3,euclidean,0.0507,0.9493,Inward
badnet_all2all,layer2,5,euclidean,0.1595,0.8405,Inward
badnet_all2all,layer2,10,euclidean,0.3560,0.6440,Inward
badnet_all2all,layer2,20,euclidean,0.4950,0.5050,Inward
badnet_all2all,layer2,50,euclidean,0.5824,0.5824,Outward
badnet_all2all,layer3,1,manhattan,0.4416,0.5584,Inward
badnet_all2all,layer3,3,manhattan,0.7439,0.7439,Outward
badnet_all2all,layer3,5,manhattan,0.8107,0.8107,Outward
badnet_all2all,layer3,10,manhattan,0.8594,0.8594,Outward
badnet_all2all,layer3,20,manhattan,0.8826,0.8826,Outward
badnet_all2all,layer3,50,manhattan,0.8966,0.8966,Outward
badnet_all2all,layer3,1,euclidean,0.6430,0.6430,Outward
badnet_all2all,layer3,3,euclidean,0.8573,0.8573,Outward
badnet_all2all,layer3,5,euclidean,0.8971,0.8971,Outward
badnet_all2all,layer3,10,euclidean,0.9287,0.9287,Outward
badnet_all2all,layer3,20,euclidean,0.9446,0.9446,Outward
badnet_all2all,layer3,50,euclidean,0.9518,0.9518,Outward
badnet_all2all,layer4,1,manhattan,0.9361,0.9361,Outward
badnet_all2all,layer4,3,manhattan,0.9711,0.9711,Outward
badnet_all2all,layer4,5,manhattan,0.9795,0.9795,Outward
badnet_all2all,layer4,10,manhattan,0.9849,0.9849,Outward
badnet_all2all,layer4,20,manhattan,0.9879,0.9879,Outward
badnet_all2all,layer4,50,manhattan,0.9904,0.9904,Outward
badnet_all2all,layer4,1,euclidean,0.9487,0.9487,Outward
badnet_all2all,layer4,3,euclidean,0.9702,0.9702,Outward
badnet_all2all,layer4,5,euclidean,0.9804,0.9804,Outward
badnet_all2all,layer4,10,euclidean,0.9876,0.9876,Outward
badnet_all2all,layer4,20,euclidean,0.9908,0.9908,Outward
badnet_all2all,layer4,50,euclidean,0.9929,0.9929,Outward
blended,layer1,1,manhattan,0.0646,0.9354,Inward
blended,layer1,3,manhattan,0.1463,0.8537,Inward
blended,layer1,5,manhattan,0.2110,0.7890,Inward
blended,layer1,10,manhattan,0.2782,0.7218,Inward
blended,layer1,20,manhattan,0.3154,0.6846,Inward
blended,layer1,50,manhattan,0.3355,0.6645,Inward
blended,layer1,1,euclidean,0.0793,0.9207,Inward
blended,layer1,3,euclidean,0.1630,0.8370,Inward
blended,layer1,5,euclidean,0.2252,0.7748,Inward
blended,layer1,10,euclidean,0.2887,0.7113,Inward
blended,layer1,20,euclidean,0.3242,0.6758,Inward
blended,layer1,50,euclidean,0.3433,0.6567,Inward
blended,layer2,1,manhattan,0.3590,0.6410,Inward
blended,layer2,3,manhattan,0.5322,0.5322,Outward
blended,layer2,5,manhattan,0.6049,0.6049,Outward
blended,layer2,10,manhattan,0.6646,0.6646,Outward
blended,layer2,20,manhattan,0.6919,0.6919,Outward
blended,layer2,50,manhattan,0.7018,0.7018,Outward
blended,layer2,1,euclidean,0.4056,0.5944,Inward
blended,layer2,3,euclidean,0.5658,0.5658,Outward
blended,layer2,5,euclidean,0.6253,0.6253,Outward
blended,layer2,10,euclidean,0.6729,0.6729,Outward
blended,layer2,20,euclidean,0.6936,0.6936,Outward
blended,layer2,50,euclidean,0.7004,0.7004,Outward
blended,layer3,1,manhattan,0.7640,0.7640,Outward
blended,layer3,3,manhattan,0.8696,0.8696,Outward
blended,layer3,5,manhattan,0.8981,0.8981,Outward
blended,layer3,10,manhattan,0.9205,0.9205,Outward
blended,layer3,20,manhattan,0.9332,0.9332,Outward
blended,layer3,50,manhattan,0.9438,0.9438,Outward
blended,layer3,1,euclidean,0.8046,0.8046,Outward
blended,layer3,3,euclidean,0.8985,0.8985,Outward
blended,layer3,5,euclidean,0.9197,0.9197,Outward
blended,layer3,10,euclidean,0.9363,0.9363,Outward
blended,layer3,20,euclidean,0.9459,0.9459,Outward
blended,layer3,50,euclidean,0.9541,0.9541,Outward
blended,layer4,1,manhattan,0.8836,0.8836,Outward
blended,layer4,3,manhattan,0.9633,0.9633,Outward
blended,layer4,5,manhattan,0.9658,0.9658,Outward
blended,layer4,10,manhattan,0.9687,0.9687,Outward
blended,layer4,20,manhattan,0.9715,0.9715,Outward
blended,layer4,50,manhattan,0.9750,0.9750,Outward
blended,layer4,1,euclidean,0.8417,0.8417,Outward
blended,layer4,3,euclidean,0.9501,0.9501,Outward
blended,layer4,5,euclidean,0.9547,0.9547,Outward
blended,layer4,10,euclidean,0.9599,0.9599,Outward
blended,layer4,20,euclidean,0.9648,0.9648,Outward
blended,layer4,50,euclidean,0.9701,0.9701,Outward
blind,layer1,1,manhattan,0.0669,0.9331,Inward
blind,layer1,3,manhattan,0.3772,0.6228,Inward
blind,layer1,5,manhattan,0.5775,0.5775,Outward
blind,layer1,10,manhattan,0.7261,0.7261,Outward
blind,layer1,20,manhattan,0.7848,0.7848,Outward
blind,layer1,50,manhattan,0.8075,0.8075,Outward
blind,layer1,1,euclidean,0.1747,0.8253,Inward
blind,layer1,3,euclidean,0.5221,0.5221,Outward
blind,layer1,5,euclidean,0.6651,0.6651,Outward
blind,layer1,10,euclidean,0.7608,0.7608,Outward
blind,layer1,20,euclidean,0.7977,0.7977,Outward
blind,layer1,50,euclidean,0.8104,0.8104,Outward
blind,layer2,1,manhattan,0.1736,0.8264,Inward
blind,layer2,3,manhattan,0.4256,0.5744,Inward
blind,layer2,5,manhattan,0.5473,0.5473,Outward
blind,layer2,10,manhattan,0.6568,0.6568,Outward
blind,layer2,20,manhattan,0.7097,0.7097,Outward
blind,layer2,50,manhattan,0.7316,0.7316,Outward
blind,layer2,1,euclidean,0.2655,0.7345,Inward
blind,layer2,3,euclidean,0.4445,0.5555,Inward
blind,layer2,5,euclidean,0.5205,0.5205,Outward
blind,layer2,10,euclidean,0.5873,0.5873,Outward
blind,layer2,20,euclidean,0.6204,0.6204,Outward
blind,layer2,50,euclidean,0.6340,0.6340,Outward
blind,layer3,1,manhattan,0.8396,0.8396,Outward
blind,layer3,3,manhattan,0.8935,0.8935,Outward
blind,layer3,5,manhattan,0.9082,0.9082,Outward
blind,layer3,10,manhattan,0.9183,0.9183,Outward
blind,layer3,20,manhattan,0.9218,0.9218,Outward
blind,layer3,50,manhattan,0.9214,0.9214,Outward
blind,layer3,1,euclidean,0.8495,0.8495,Outward
blind,layer3,3,euclidean,0.8951,0.8951,Outward
blind,layer3,5,euclidean,0.9078,0.9078,Outward
blind,layer3,10,euclidean,0.9164,0.9164,Outward
blind,layer3,20,euclidean,0.9186,0.9186,Outward
blind,layer3,50,euclidean,0.9166,0.9166,Outward
blind,layer4,1,manhattan,0.8900,0.8900,Outward
blind,layer4,3,manhattan,0.8915,0.8915,Outward
blind,layer4,5,manhattan,0.8922,0.8922,Outward
blind,layer4,10,manhattan,0.8919,0.8919,Outward
blind,layer4,20,manhattan,0.8915,0.8915,Outward
blind,layer4,50,manhattan,0.8906,0.8906,Outward
blind,layer4,1,euclidean,0.8867,0.8867,Outward
blind,layer4,3,euclidean,0.8871,0.8871,Outward
blind,layer4,5,euclidean,0.8874,0.8874,Outward
blind,layer4,10,euclidean,0.8870,0.8870,Outward
blind,layer4,20,euclidean,0.8867,0.8867,Outward
blind,layer4,50,euclidean,0.8860,0.8860,Outward
bpp,layer1,1,manhattan,0.3262,0.6738,Inward
bpp,layer1,3,manhattan,0.7374,0.7374,Outward
bpp,layer1,5,manhattan,0.7991,0.7991,Outward
bpp,layer1,10,manhattan,0.8335,0.8335,Outward
bpp,layer1,20,manhattan,0.8450,0.8450,Outward
bpp,layer1,50,manhattan,0.8454,0.8454,Outward
bpp,layer1,1,euclidean,0.8414,0.8414,Outward
bpp,layer1,3,euclidean,0.8940,0.8940,Outward
bpp,layer1,5,euclidean,0.9008,0.9008,Outward
bpp,layer1,10,euclidean,0.9044,0.9044,Outward
bpp,layer1,20,euclidean,0.9050,0.9050,Outward
bpp,layer1,50,euclidean,0.9033,0.9033,Outward
bpp,layer2,1,manhattan,0.8002,0.8002,Outward
bpp,layer2,3,manhattan,0.9316,0.9316,Outward
bpp,layer2,5,manhattan,0.9488,0.9488,Outward
bpp,layer2,10,manhattan,0.9586,0.9586,Outward
bpp,layer2,20,manhattan,0.9634,0.9634,Outward
bpp,layer2,50,manhattan,0.9669,0.9669,Outward
bpp,layer2,1,euclidean,0.9708,0.9708,Outward
bpp,layer2,3,euclidean,0.9764,0.9764,Outward
bpp,layer2,5,euclidean,0.9773,0.9773,Outward
bpp,layer2,10,euclidean,0.9780,0.9780,Outward
bpp,layer2,20,euclidean,0.9784,0.9784,Outward
bpp,layer2,50,euclidean,0.9787,0.9787,Outward
bpp,layer3,1,manhattan,0.4923,0.5077,Inward
bpp,layer3,3,manhattan,0.8096,0.8096,Outward
bpp,layer3,5,manhattan,0.8699,0.8699,Outward
bpp,layer3,10,manhattan,0.9053,0.9053,Outward
bpp,layer3,20,manhattan,0.9188,0.9188,Outward
bpp,layer3,50,manhattan,0.9249,0.9249,Outward
bpp,layer3,1,euclidean,0.7251,0.7251,Outward
bpp,layer3,3,euclidean,0.8508,0.8508,Outward
bpp,layer3,5,euclidean,0.8711,0.8711,Outward
bpp,layer3,10,euclidean,0.8837,0.8837,Outward
bpp,layer3,20,euclidean,0.8887,0.8887,Outward
bpp,layer3,50,euclidean,0.8907,0.8907,Outward
bpp,layer4,1,manhattan,0.5768,0.5768,Outward
bpp,layer4,3,manhattan,0.5698,0.5698,Outward
bpp,layer4,5,manhattan,0.5648,0.5648,Outward
bpp,layer4,10,manhattan,0.5588,0.5588,Outward
bpp,layer4,20,manhattan,0.5544,0.5544,Outward
bpp,layer4,50,manhattan,0.5469,0.5469,Outward
bpp,layer4,1,euclidean,0.4811,0.5189,Inward
bpp,layer4,3,euclidean,0.4771,0.5229,Inward
bpp,layer4,5,euclidean,0.4761,0.5239,Inward
bpp,layer4,10,euclidean,0.4749,0.5251,Inward
bpp,layer4,20,euclidean,0.4748,0.5252,Inward
bpp,layer4,50,euclidean,0.4756,0.5244,Inward
ctrl,layer1,1,manhattan,0.1627,0.8373,Inward
ctrl,layer1,3,manhattan,0.3244,0.6756,Inward
ctrl,layer1,5,manhattan,0.4844,0.5156,Inward
ctrl,layer1,10,manhattan,0.6569,0.6569,Outward
ctrl,layer1,20,manhattan,0.7388,0.7388,Outward
ctrl,layer1,50,manhattan,0.7767,0.7767,Outward
ctrl,layer1,1,euclidean,0.4436,0.5564,Inward
ctrl,layer1,3,euclidean,0.8522,0.8522,Outward
ctrl,layer1,5,euclidean,0.9129,0.9129,Outward
ctrl,layer1,10,euclidean,0.9407,0.9407,Outward
ctrl,layer1,20,euclidean,0.9484,0.9484,Outward
ctrl,layer1,50,euclidean,0.9489,0.9489,Outward
ctrl,layer2,1,manhattan,0.2281,0.7719,Inward
ctrl,layer2,3,manhattan,0.5752,0.5752,Outward
ctrl,layer2,5,manhattan,0.7632,0.7632,Outward
ctrl,layer2,10,manhattan,0.8898,0.8898,Outward
ctrl,layer2,20,manhattan,0.9355,0.9355,Outward
ctrl,layer2,50,manhattan,0.9548,0.9548,Outward
ctrl,layer2,1,euclidean,0.9881,0.9881,Outward
ctrl,layer2,3,euclidean,0.9970,0.9970,Outward
ctrl,layer2,5,euclidean,0.9985,0.9985,Outward
ctrl,layer2,10,euclidean,0.9994,0.9994,Outward
ctrl,layer2,20,euclidean,0.9997,0.9997,Outward
ctrl,layer2,50,euclidean,0.9998,0.9998,Outward
ctrl,layer3,1,manhattan,0.9615,0.9615,Outward
ctrl,layer3,3,manhattan,0.9828,0.9828,Outward
ctrl,layer3,5,manhattan,0.9872,0.9872,Outward
ctrl,layer3,10,manhattan,0.9904,0.9904,Outward
ctrl,layer3,20,manhattan,0.9920,0.9920,Outward
ctrl,layer3,50,manhattan,0.9930,0.9930,Outward
ctrl,layer3,1,euclidean,0.9731,0.9731,Outward
ctrl,layer3,3,euclidean,0.9902,0.9902,Outward
ctrl,layer3,5,euclidean,0.9935,0.9935,Outward
ctrl,layer3,10,euclidean,0.9953,0.9953,Outward
ctrl,layer3,20,euclidean,0.9959,0.9959,Outward
ctrl,layer3,50,euclidean,0.9957,0.9957,Outward
ctrl,layer4,1,manhattan,0.8599,0.8599,Outward
ctrl,layer4,3,manhattan,0.8732,0.8732,Outward
ctrl,layer4,5,manhattan,0.8744,0.8744,Outward
ctrl,layer4,10,manhattan,0.8725,0.8725,Outward
ctrl,layer4,20,manhattan,0.8679,0.8679,Outward
ctrl,layer4,50,manhattan,0.8592,0.8592,Outward
ctrl,layer4,1,euclidean,0.8590,0.8590,Outward
ctrl,layer4,3,euclidean,0.8709,0.8709,Outward
ctrl,layer4,5,euclidean,0.8729,0.8729,Outward
ctrl,layer4,10,euclidean,0.8730,0.8730,Outward
ctrl,layer4,20,euclidean,0.8706,0.8706,Outward
ctrl,layer4,50,euclidean,0.8654,0.8654,Outward
ftrojan,layer1,1,manhattan,0.0054,0.9946,Inward
ftrojan,layer1,3,manhattan,0.1025,0.8975,Inward
ftrojan,layer1,5,manhattan,0.2692,0.7308,Inward
ftrojan,layer1,10,manhattan,0.4615,0.5385,Inward
ftrojan,layer1,20,manhattan,0.5602,0.5602,Outward
ftrojan,layer1,50,manhattan,0.6101,0.6101,Outward
ftrojan,layer1,1,euclidean,0.0170,0.9830,Inward
ftrojan,layer1,3,euclidean,0.1634,0.8366,Inward
ftrojan,layer1,5,euclidean,0.3188,0.6812,Inward
ftrojan,layer1,10,euclidean,0.4754,0.5246,Inward
ftrojan,layer1,20,euclidean,0.5528,0.5528,Outward
ftrojan,layer1,50,euclidean,0.5919,0.5919,Outward
ftrojan,layer2,1,manhattan,0.2952,0.7048,Inward
ftrojan,layer2,3,manhattan,0.6713,0.6713,Outward
ftrojan,layer2,5,manhattan,0.7942,0.7942,Outward
ftrojan,layer2,10,manhattan,0.8757,0.8757,Outward
ftrojan,layer2,20,manhattan,0.9060,0.9060,Outward
ftrojan,layer2,50,manhattan,0.9158,0.9158,Outward
ftrojan,layer2,1,euclidean,0.9727,0.9727,Outward
ftrojan,layer2,3,euclidean,0.9914,0.9914,Outward
ftrojan,layer2,5,euclidean,0.9951,0.9951,Outward
